Precinct	DVote	RVote
1465	767	683
1466	226	201
1467	268	239
1468	1814	169
1469	647	57
1470	754	66
1471	942	82
1472	727	161
1473	493	17
1474	591	131
1475	902	79
1476	767	170
1477	876	194
1478	987	218
1479	944	83
1480	633	140
1481	658	146
1482	520	115
1483	1650	365
1484	561	188
1485	574	192
1486	395	88
1487	434	146
1488	745	165
1489	399	104
1490	385	100
1491	727	189
1492	992	257
1493	859	223
1494	412	107
1495	864	224
1496	990	257
1497	405	105
1498	412	107
1499	616	160
1500	158	41
1501	484	126
1502	487	126
1503	771	200
1504	292	76
1505	538	140
1506	331	86
1507	324	84
1508	487	126
1509	707	184
1510	444	115
1511	418	108
1512	524	46
1513	355	31
1514	507	131
1515	369	96
1516	650	57
1517	423	110
1518	489	127
1519	189	17
1520	1202	106
1521	449	43
1522	1026	36
1523	617	59
1524	947	317
1525	354	34
1526	481	113
1527	439	135
1528	731	245
1529	307	95
1530	589	153
1531	551	143
1532	763	198
1533	605	157
1534	702	182
1535	381	99
1536	679	176
1537	472	122
1538	433	112
1539	681	177
1540	508	132
1541	346	90
1542	266	88
1543	679	224
1544	585	193
1545	468	393
1546	653	549
1547	856	719
1548	415	349
1549	832	699
1550	685	226
1551	360	119
1552	631	208
1553	685	226
1554	688	227
1555	745	246
1556	501	165
1557	604	199
1558	309	102
1559	473	312
1560	354	233
1561	391	329
1562	298	678
1563	239	542
1564	510	336
1565	574	378
1566	293	465
1567	867	286
1568	732	241
1569	996	328
1570	446	147
1571	534	176
1572	583	192
1573	631	194
1574	542	167
1575	513	338
1576	572	298
1577	358	186
1578	327	170
1579	526	347
1580	272	180
1581	644	198
1582	939	289
1583	436	134
1584	406	125
1585	570	236
1586	444	210
1587	455	188
1588	635	263
1589	816	338
1590	927	384
1591	882	365
1592	998	413
1593	0	0
1594	997	413
1595	449	186
1596	589	279
1597	135	64
1598	381	180
1599	276	131
1600	826	391
1601	368	174
1602	817	386
1603	153	73
1604	361	171
1605	342	162
1606	406	192
1607	380	180
1608	253	120
1609	504	496
1610	301	142
1611	337	160
1612	357	169
1613	530	251
1614	402	396
1615	311	306
1616	473	465
1617	403	36
1618	461	41
1619	904	148
1620	241	21
1621	327	43
1622	0	0
1623	178	29
1624	864	142
1625	29	5
1626	727	64
1627	548	48
1628	386	34
1629	264	60
1630	70	16
1631	1283	300
1632	714	185
1633	1334	346
1634	916	238
1635	381	126
1636	619	55
1637	1123	370
1638	557	184
1639	424	140
1640	189	62
1641	826	272
1642	0	0
1643	438	102
1644	313	73
1645	246	58
1646	1377	454
1647	959	316
1648	212	70
1649	305	201
1650	607	400
1651	177	116
1652	13	11
1653	342	544
1654	261	414
1655	41	65
1656	371	330
1657	559	368
1658	416	274
1659	542	357
1660	177	92
1661	477	248
1662	590	307
1663	494	257
1664	172	113
1665	211	188
1666	669	441
1667	484	319
1668	166	148
1669	329	172
1670	384	200
1671	368	192
1672	347	181
1673	389	203
1674	377	196
1675	616	321
1676	250	130
1677	176	157
1678	175	155
1679	397	353
1680	480	428
1681	947	936
1682	271	268
1683	207	205
1684	215	212
1685	230	227
1686	265	262
1687	499	493
1688	405	400
1689	277	329
1690	252	300
1691	366	328
